Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,133.520004,133.610001,126.379997,130.919998,128.484039,505633000
2021-01-08,132.429993,132.630005,126.860001,128.910004,126.511414,476352400
2021-01-15,128.779999,139.669998,126.940002,136.869995,134.323288,426826200
2021-01-22,136.279999,145.089996,135.020004,137.089996,134.539200,653926600
2021-01-29,135.830002,137.399994,130.210007,137.389999,134.833603,541133000
2021-02-05,137.350006,137.880005,133.770004,135.130005,132.615662,361091800
2021-02-12,134.350006,136.009995,127.410004,129.710007,127.486763,335496600
2021-02-19,130.240005,130.710007,118.389999,120.989998,118.916214,609097600
2021-02-26,122.589996,128.720001,118.620003,120.129997,118.070930,674250500
2021-03-05,120.980003,123.209999,116.209999,121.959999,119.869576,652638800
2021-03-12,120.400002,127.220001,119.160004,120.529999,118.464088,528899100
2021-03-19,119.900002,124.239998,119.000000,120.589996,118.523048,580304100
2021-03-26,120.349998,124.180000,118.860001,123.000000,120.891747,453975200
2021-04-02,123.870003,130.389999,123.070000,130.360001,128.125610,341133800
2021-04-09,129.800003,135.000000,129.470001,134.500000,132.194641,465943100
2021-04-16,134.300003,135.529999,131.300003,131.940002,129.678513,427412500
2021-04-23,132.160004,137.070007,132.160004,133.479996,131.192108,470439500
2021-04-30,131.779999,134.070007,126.699997,129.740005,127.516220,484668500
2021-05-07,130.850006,131.259995,122.250000,124.970001,122.827980,511220900
2021-05-14,126.250000,127.889999,122.860001,127.309998,125.340408,388974600
2021-05-21,127.820000,128.320007,125.080002,125.279999,123.341820,365599300
2021-05-28,125.570000,125.800003,123.129997,123.540001,121.628746,274456300
2021-06-04,124.070000,128.460007,123.849998,126.110001,124.158981,348695000
2021-06-11,126.529999,132.550003,126.099998,131.789993,129.751099,401711900
2021-06-18,130.710007,134.639999,129.210007,133.410004,131.346069,392325400
2021-06-25,133.460007,137.410004,132.809998,137.270004,135.146301,313198300
2021-07-02,137.899994,144.889999,137.750000,143.240005,141.023972,397521500
2021-07-09,142.750000,150.000000,142.649994,148.479996,146.182877,510888700
2021-07-16,148.460007,149.759995,141.669998,146.800003,144.528885,463367700
2021-07-23,147.550003,149.830002,142.539993,145.639999,143.386841,424330800
2021-07-30,144.380005,148.039993,144.110001,147.059998,144.784866,300873200
2021-08-06,146.350006,149.050003,145.300003,148.889999,146.586517,292834700
2021-08-13,148.970001,151.679993,144.500000,146.699997,144.646820,428187000
2021-08-20,147.440002,150.860001,146.779999,147.539993,145.475098,276876300
2021-08-27,147.479996,154.979996,146.830002,153.649994,151.499573,384641400
2021-09-03,153.759995,157.259995,153.089996,154.070007,151.913696,271812900
2021-09-10,155.000000,155.479996,146.369995,148.789993,146.707550,503909200
2021-09-17,148.820007,148.820007,141.270004,146.830002,144.774994,470424200
2021-09-24,145.660004,147.470001,141.279999,141.500000,139.519608,400259600
2021-10-01,141.899994,144.220001,138.270004,143.289993,141.284546,418776500
2021-10-08,144.029999,144.809998,139.199997,143.759995,141.747971,344931100
2021-10-15,143.770004,149.750000,143.160004,149.479996,147.387924,349748200
2021-10-22,149.690002,153.169998,147.619995,152.570007,150.434677,326670200
2021-10-29,147.220001,152.429993,146.410004,150.960007,148.847229,383569600
2021-11-05,151.889999,152.199997,147.679993,147.869995,145.800446,283459800
2021-11-12,148.429993,158.669998,147.479996,157.869995,155.887695,408917700
2021-11-19,157.649994,165.699997,156.529999,161.940002,159.906586,400279000
2021-11-26,159.570007,170.300003,156.360001,163.759995,161.703705,628547800
2021-12-03,164.020004,176.750000,159.720001,174.559998,172.368088,571848100
2021-12-10,175.210007,182.130005,170.750000,172.259995,170.096970,689269200
2021-12-17,169.929993,176.850006,167.460007,176.279999,174.066498,554609600
2021-12-24,177.089996,181.330002,177.070007,178.199997,175.962387,276185800
